,Enter,cruise,cruise_left,cruise_right,accelerate,accelerate_left,accelerate_right,slow,slow_left,slow_right,stop,exit,fail_state
Enter,0,0,0,0,0.607655502,0.282296651,0.110047847,0,0,0,0,0,0
cruise,0,0.49871134,0.119845361,0.139175258,0,0,0,0,0.055412371,0.074742268,0.015463918,0.096649485,0
cruise_left,0,0.427906977,0.153488372,0.134883721,0,0,0,0,0.041860465,0.023255814,0.018604651,0.2,0
cruise_right,0,0.491071429,0.125,0.107142857,0,0,0,0,0.013392857,0.071428571,0.004464286,0.1875,0
accelerate,0,0.183937824,0.07253886,0.056994819,0.305699482,0.129533679,0.139896373,0,0.046632124,0.044041451,0.018134715,0.002590674,0
accelerate_left,0,0.214592275,0.055793991,0.120171674,0.13304721,0.0472103,0.270386266,0,0.060085837,0.038626609,0,0.060085837,0
accelerate_right,0,0.301369863,0.091324201,0.059360731,0.187214612,0.164383562,0.050228311,0,0.054794521,0.063926941,0.00913242,0.01826484,0
slow,0,0,0,0,0,0,0,0,0,0,0,0,0
slow_left,0,0,0,0,0.383838384,0.131313131,0.474747475,0,0,0,0.01010101,0,0
slow_right,0,0,0,0,0.260504202,0.537815126,0.176470588,0,0,0,0.025210084,0,0
stop,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0.444444444
exit,0,0,0,0,0,0,0,0,0,0,0,0,0
fail_state,0,0,0,0,0,0,0,0,0,0,0,0,0
