,Enter,cruise,cruise_left,cruise_right,accelerate,accelerate_left,accelerate_right,slow_left,slow_right,stop,exit,fail_state
Enter,0,0,0,0,0.62987013,0.233766234,0.136363636,0,0,0,0,0
cruise,0,0.497402597,0.151948052,0.132467532,0,0,0,0.05974026,0.041558442,0.002597403,0.114285714,0
cruise_left,0,0.494545455,0.101818182,0.12,0,0,0,0.083636364,0.032727273,0.007272727,0.16,0
cruise_right,0,0.272727273,0.144628099,0.053719008,0,0,0,0.123966942,0.078512397,0.041322314,0.140495868,0.144628099
accelerate,0,0.144268775,0.065217391,0.096837945,0.31027668,0.110671937,0.217391304,0.023715415,0.031620553,0,0,0
accelerate_left,0,0.180327869,0.040983607,0.114754098,0.06557377,0.020491803,0.430327869,0.077868852,0.049180328,0.004098361,0.016393443,0
accelerate_right,0,0.168734491,0.129032258,0.042183623,0.138957816,0.136476427,0.094292804,0.064516129,0.074441687,0.014888337,0.017369727,0.1191067
slow_left,0,0,0,0,0.33974359,0.057692308,0.583333333,0,0,0.012820513,0.006410256,0
slow_right,0,0,0,0,0.254237288,0.398305085,0.144067797,0,0,0,0,0.203389831
stop,0,0,0,0,0,0,0,0,0,0.266666667,0,0.733333333
exit,0,0,0,0,0,0,0,0,0,0,0,0
fail_state,0,0,0,0,0,0,0,0,0,0,0,0
