,Errors
0,1
1,1
2,0.5
3,1
4,0.214285714
5,0.666666667
6,0.25
7,0.333333333
8,0.2
9,0.166666667
10,0.166666667
11,0.142857143
12,0.15
13,0.088888889
14,0.111111111
15,0.166666667
16,0.041666667
17,0.068181818
18,0.035
19,0.036923077
20,0.057692308
21,0.095238095
22,0.049450549
23,0.071428571
24,0.032019704
25,0.041666667
26,0.054166667
27,0.028225806
28,0.15
29,0.083333333
30,0.029204108
31,0.080808081
32,0.024603175
33,0.061538462
34,0.053030303
35,0.04047619
36,0.020487265
37,0.064102564
38,0.022119908
39,0.25
40,0.25
41,0.018173759
42,0.034055728
43,0.056818182
44,0.055555556
45,0.016328012
46,0.034391534
47,0.015037594
48,0.036796537
49,0.014319112
50,0.032163743
51,0.013661202
52,0.016304348
53,0.027777778
54,0.027272727
55,0.027093596
56,0.012437811
57,0.060606061
58,0.02228164
59,0.025201613
60,0.024603175
61,0.025108225
62,0.027568922
63,0.024893314
64,0.034632035
65,0.018292683
66,0.020905923
67,0.012365591
68,0.010601266
69,0.01875
70,0.055555556
71,0.044444444
72,0.022689076
73,0.022482893
74,0.010248179
75,0.138461538
76,0.039855072
77,0.03
78,0.01971831
79,0.008836524
80,0.008658009
81,0.023076923
82,0.039473684
83,0.021428571
84,0.011904762
85,0.00959596
86,0.014799154
87,0.035384615
88,0.007496252
89,0.017786561
90,0.00731566
91,0.018038853
92,0.013150205
93,0.014689266
94,0.038461538
95,0.013180272
96,0.035612536
97,0.008107997
98,0.015384615
99,0.031746032
100,0.023399015
101,0.015669516
102,0.009657594
103,0.008459098
104,0.02183908
105,0.032114184
106,0.006427015
107,0.00633319
108,0.026315789
109,0.019153226
110,0.014550265
111,0.034926471
112,0.007259528
113,0.011351351
114,0.011052632
115,0.005783664
116,0.023529412
117,0.022222222
118,0.01076555
119,0.005552834
120,0.005482545
121,0.017195767
122,0.012490242
123,0.016009852
124,0.015765766
125,0.021337127
126,0.006312292
127,0.014844804
128,0.022435897
129,0.011662347
130,0.005900621
131,0.019512195
132,0.018583043
133,0.010162602
134,0.009136213
135,0.009489441
136,0.04004329
137,0.010656011
138,0.01119403
139,0.018181818
140,0.009758772
141,0.016908213
142,0.004671845
143,0.00557817
144,0.013413506
145,0.004581152
146,0.01048218
147,0.005420054
148,0.008383838
149,0.008217822
150,0.033000434
151,0.011460476
152,0.011187608
153,0.007541478
154,0.006753247
155,0.015510204
156,0.015294118
157,0.007726864
158,0.009412528
159,0.009712722
160,0.007390418
161,0.014705882
162,0.015314893
163,0.01397624
164,0.013804714
165,0.004112834
166,0.004074927
167,0.010051426
168,0.00776277
169,0.007231739
170,0.008493995
171,0.003898483
172,0.015584416
173,0.006371814
174,0.008734602
175,0.007236842
176,0.048387097
177,0.023399015
178,0.007085885
179,0.006570925
180,0.008181818
181,0.014285714
182,0.004588165
183,0.003669284
184,0.003639084
185,0.003609256
186,0.008019802
187,0.012857978
188,0.01440678
189,0.007566437
190,0.007859454
191,0.003749713
192,0.012179487
193,0.012568306
194,0.007813348
195,0.008307373
196,0.006540945
197,0.003330475
198,0.036627907
199,0.003294754
200,0.012162877
201,0.012698413
202,0.011656746
203,0.006135618
204,0.008090075
205,0.008599509
206,0.003188406
207,0.011627907
208,0.00314587
209,0.011111111
210,0.005901722
211,0.003095005
212,0.010955711
213,0.012890095
214,0.003027682
215,0.005555556
216,0.006565895
217,0.006911929
218,0.002980504
219,0.006881066
220,0.004966443
221,0.006765418
222,0.01119403
223,0.010869565
224,0.006022409
225,0.002893226
226,0.005288958
227,0.010559006
228,0.003678725
229,0.010261569
230,0.011932707
231,0.010083714
232,0.004676288
233,0.004617467
234,0.004559748
235,0.009811181
236,0.012972973
237,0.002785287
238,0.003454816
239,0.009649123
240,0.009398496
241,0.005046584
242,0.002737932
243,0.005990649
244,0.018411968
245,0.003360054
246,0.005247598
247,0.009335443
248,0.009104938
249,0.003220036
250,0.00873231
251,0.004971989
252,0.007277734
253,0.01022409
254,0.006064516
255,0.005968254
256,0.008618331
257,0.008420209
258,0.029434851
259,0.005734543
260,0.004879301
261,0.004094458
262,0.008299285
263,0.002725291
264,0.009796807
265,0.015557476
266,0.004553458
267,0.00530675
268,0.009436216
269,0.01827012
270,0.007838746
271,0.005369128
272,0.002414252
273,0.002401024
274,0.007346491
275,0.009433962
276,0.005202958
277,0.004372041
278,0.007468967
279,0.005417118
280,0.007627293
281,0.005069124
282,0.002317432
283,0.00534188
284,0.005268199
285,0.005196032
286,0.002289722
287,0.004856301
288,0.005102041
289,0.002913907
290,0.002257652
291,0.002766643
292,0.004481132
293,0.003649609
294,0.002910345
295,0.006891866
296,0.002211993
297,0.005827774
298,0.007329145
299,0.00877193
300,0.004323725
301,0.004899292
302,0.00216355
303,0.005072209
304,0.006828392
305,0.006524423
306,0.004509494
307,0.006663205
